"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","16:58","22:43","345","85.0","True","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 16:58:00","2024-11-21 22:43:00","","0","Thursday","afternoon","moyen","cheap","3278876954813439603"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","13:35","21:45","490","173.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 13:35:00","2024-11-21 21:45:00","","0","Thursday","afternoon","long","high","8601772388224706998"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","21:30","08:00+1","630","205.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 21:30:00","2024-11-22 08:00:00","","0","Thursday","evening","long","high","7470303761606206229"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:00","22:15","255","229.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 18:00:00","2024-11-21 22:15:00","","0","Thursday","evening","moyen","high","3958535598734587882"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:00","07:35+1","815","246.0","False","BOD","BRU","N/A","N/A","N/A","","KLM","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 18:00:00","2024-11-22 07:35:00","","0","Thursday","evening","long","high","8045095138097814174"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:00","10:10+1","970","252.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 18:00:00","2024-11-22 10:10:00","","0","Thursday","evening","long","high","9056030116830214004"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:30","22:35","245","264.0","False","BOD","BRU","N/A","N/A","N/A","","Lufthansa","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 18:30:00","2024-11-21 22:35:00","","0","Thursday","evening","moyen","high","2497409622090163317"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","14:55","19:10","255","264.0","False","BOD","BRU","N/A","N/A","N/A","","SWISS","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 14:55:00","2024-11-21 19:10:00","","0","Thursday","afternoon","moyen","high","1747047005218754209"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","17:55","08:10+1","855","278.0","False","BOD","BRU","N/A","N/A","BCN","285.0","Vueling","N/A","Économique","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 17:55:00","2024-11-22 08:10:00","570.0","0","Thursday","evening","long","high","5912805815875025154"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:30","08:40+1","850","280.0","False","BOD","BRU","N/A","N/A","BCN","285.0","Vueling","N/A","Économique","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 18:30:00","2024-11-22 08:40:00","565.0","0","Thursday","evening","long","high","3538126679780969900"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","19:00","08:10+1","790","283.0","False","BOD","BRU","N/A","N/A","BCN","285.0","Vueling","N/A","Économique","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 19:00:00","2024-11-22 08:10:00","505.0","0","Thursday","evening","long","high","6786106442279740027"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","21:50","13:50+1","960","290.0","False","BOD","BRU","N/A","N/A","BCN","285.0","Vueling","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 21:50:00","2024-11-22 13:50:00","675.0","0","Thursday","evening","long","high","4021437518145965148"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","17:55","10:05+1","970","294.0","False","BOD","CRL","N/A","N/A","N/A","","Iberia","Ryanair","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 17:55:00","2024-11-22 10:05:00","","0","Thursday","evening","long","high","886635068216230334"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","18:30","09:50+1","920","296.0","False","BOD","BRU","N/A","N/A","BCN","285.0","Vueling","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 18:30:00","2024-11-22 09:50:00","635.0","0","Thursday","evening","long","high","1473800245097748712"
"2024-11-21","2024-11-21","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-21?sort=price_a","21:50","08:35+1","645","297.0","False","BOD","BRU","N/A","N/A","N/A","","easyJet","ITA Airways","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-21 21:50:00","2024-11-22 08:35:00","","0","Thursday","evening","long","high","2776277512820804397"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","05:18","12:11","413","104.0","True","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 05:18:00","2024-11-22 12:11:00","","1","Friday","morning","long","standard","6834932927421220528"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","07:00","16:00","540","165.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 07:00:00","2024-11-22 16:00:00","","1","Friday","morning","long","high","3813027207124962208"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","09:45","18:00","495","171.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 09:45:00","2024-11-22 18:00:00","","1","Friday","morning","long","high","2615870353675290427"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","17:40","08:20+1","880","174.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 17:40:00","2024-11-23 08:20:00","","1","Friday","evening","long","high","1233802084340497759"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","12:50","22:10","560","179.0","False","BOD","CRL","N/A","N/A","N/A","","Volotea","Ryanair","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 12:50:00","2024-11-22 22:10:00","","1","Friday","afternoon","long","high","2926692374903099988"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","07:00","19:50","770","193.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 07:00:00","2024-11-22 19:50:00","","1","Friday","morning","long","high","6686940361348935377"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","10:50","19:50","540","197.0","False","BOD","BRU","N/A","N/A","N/A","","easyJet","Scandinavian Airlines","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 10:50:00","2024-11-22 19:50:00","","1","Friday","morning","long","high","2693270177405520623"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","09:45","21:25","700","200.0","False","BOD","BRU","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 09:45:00","2024-11-22 21:25:00","","1","Friday","morning","long","high","3037608246340492746"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","09:45","17:25","460","204.0","False","BOD","BRU","N/A","N/A","NCE","355.0","easyJet","N/A","Standard","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 09:45:00","2024-11-22 17:25:00","105.0","1","Friday","morning","long","high","471657578657726986"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","17:45","09:00+1","915","229.0","False","BOD","BRU","N/A","N/A","NCE","355.0","easyJet","N/A","Standard","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 17:45:00","2024-11-23 09:00:00","560.0","1","Friday","evening","long","high","1656603159810649864"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","17:40","08:45+1","905","233.0","False","BOD","CRL","N/A","N/A","NCE","355.0","easyJet","N/A","Standard","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 17:40:00","2024-11-23 08:45:00","550.0","1","Friday","evening","long","high","4205788397379952684"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","19:45","08:35+1","770","237.0","False","BOD","BRU","N/A","N/A","NCE","355.0","easyJet","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 19:45:00","2024-11-23 08:35:00","415.0","1","Friday","evening","long","high","3389334647923856393"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","09:45","20:40","655","242.0","False","BOD","CRL","N/A","N/A","N/A","","Vueling","Ryanair","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 09:45:00","2024-11-22 20:40:00","","1","Friday","morning","long","high","6581978148586853166"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","08:30","14:55","385","254.0","False","BOD","CRL","N/A","N/A","NCE","355.0","easyJet","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 08:30:00","2024-11-22 14:55:00","30.0","1","Friday","morning","long","high","3244778905178206379"
"2024-11-21","2024-11-22","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-22?sort=price_a","21:50","10:25+1","755","259.0","False","BOD","BRU","N/A","N/A","N/A","","Tunisair","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-22 21:50:00","2024-11-23 10:25:00","","1","Friday","evening","long","high","5810436244057902370"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","16:58","22:43","345","79.0","True","BOD","BRU","N/A","N/A","N/A","","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 16:58:00","2024-11-23 22:43:00","","2","Saturday","afternoon","moyen","cheap","3838169831518013432"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","21:45","09:00+1","675","107.0","False","BOD","BRU","N/A","N/A","CDG","26.0","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 21:45:00","2024-11-24 09:00:00","649.0","2","Saturday","evening","long","standard","7706611476619882579"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","21:45","13:50+1","965","112.0","False","BOD","BRU","N/A","N/A","CDG","26.0","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 21:45:00","2024-11-24 13:50:00","939.0","2","Saturday","evening","long","standard","4623473317631550897"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","21:45","08:50+1","665","128.0","False","BOD","BRU","N/A","N/A","CDG","26.0","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 21:45:00","2024-11-24 08:50:00","639.0","2","Saturday","evening","long","standard","3907301403626184830"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","21:45","14:00+1","975","152.0","False","BOD","CRL","N/A","N/A","N/A","","Vueling","Ryanair","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 21:45:00","2024-11-24 14:00:00","","2","Saturday","evening","long","high","698026856370731928"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","21:45","12:55+1","910","165.0","False","BOD","CRL","N/A","N/A","CDG","26.0","SNCF","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 21:45:00","2024-11-24 12:55:00","884.0","2","Saturday","evening","long","high","5509639595045699150"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","06:45","18:20","695","166.0","False","BOD","ANR","N/A","N/A","N/A","","Volotea","TUI Fly Belgium","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 06:45:00","2024-11-23 18:20:00","","2","Saturday","morning","long","high","7253674972121234156"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","21:45","13:05+1","920","188.0","False","BOD","BRU","N/A","N/A","N/A","","Vueling","easyJet","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 21:45:00","2024-11-24 13:05:00","","2","Saturday","evening","long","high","6799882546360930028"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","21:45","13:05+1","920","199.0","False","BOD","BRU","N/A","N/A","BCN","470.0","Vueling","N/A","Économique","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 21:45:00","2024-11-24 13:05:00","450.0","2","Saturday","evening","long","high","6799882546360930028"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","17:55","08:40+1","885","200.0","False","BOD","CRL","N/A","N/A","BCN","470.0","Vueling","N/A","Économique","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 17:55:00","2024-11-24 08:40:00","415.0","2","Saturday","evening","long","high","6448814833012774595"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","06:45","16:30","585","206.0","False","BOD","CRL","N/A","N/A","BCN","470.0","Vueling","N/A","Économique","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 06:45:00","2024-11-23 16:30:00","115.0","2","Saturday","morning","long","high","6246103374723826588"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","10:05","17:35","450","207.0","False","BOD","CRL","N/A","N/A","BCN","470.0","Vueling","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 10:05:00","2024-11-23 17:35:00","","2","Saturday","morning","long","high","6141332038059600141"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","10:05","22:50","765","207.0","False","BOD","CRL","N/A","N/A","N/A","","easyJet","Ryanair","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 10:05:00","2024-11-23 22:50:00","","2","Saturday","morning","long","high","6369915283959059293"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","17:55","08:45+1","890","207.0","False","BOD","BRU","N/A","N/A","BCN","470.0","Vueling","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 17:55:00","2024-11-24 08:45:00","420.0","2","Saturday","evening","long","high","7767379430697030257"
"2024-11-21","2024-11-23","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-23?sort=price_a","07:40","21:45","845","216.0","False","BOD","BRU","N/A","N/A","N/A","","easyJet","Vueling","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-23 07:40:00","2024-11-23 21:45:00","","2","Saturday","morning","long","high","632731170048966363"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","05:58","12:06","368","104.0","True","BOD","BRU","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 05:58:00","2024-11-24 12:06:00","","3","Sunday","morning","long","standard","2124010722953743206"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","21:30","12:15+1","885","144.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 21:30:00","2024-11-25 12:15:00","","3","Sunday","evening","long","high","4244348708801806381"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","18:00","08:30+1","870","168.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 18:00:00","2024-11-25 08:30:00","","3","Sunday","evening","long","high","3900111349516726398"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","18:00","09:05+1","905","172.0","False","BOD","CRL","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 18:00:00","2024-11-25 09:05:00","","3","Sunday","evening","long","high","178057888447070842"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","18:00","09:05+1","905","180.0","False","BOD","BRU","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 18:00:00","2024-11-25 09:05:00","","3","Sunday","evening","long","high","615214215514886837"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","18:45","08:30+1","825","184.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 18:45:00","2024-11-25 08:30:00","","3","Sunday","evening","long","high","2579765990934573929"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","11:10","20:35","565","197.0","False","BOD","BRU","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 11:10:00","2024-11-24 20:35:00","","3","Sunday","morning","long","high","2609259268758077609"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","18:45","09:05+1","860","200.0","False","BOD","BRU","N/A","N/A","N/A","","Volotea","Vueling","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 18:45:00","2024-11-25 09:05:00","","3","Sunday","evening","long","high","6449868152282816605"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","20:55","08:00+1","665","207.0","False","BOD","BRU","N/A","N/A","NCE","705.0","easyJet","N/A","Standard","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 20:55:00","2024-11-25 08:00:00","","3","Sunday","evening","long","high","8481013268819315077"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","08:10","16:00","470","220.0","False","BOD","BRU","N/A","N/A","NCE","705.0","easyJet","N/A","Standard","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 08:10:00","2024-11-24 16:00:00","","3","Sunday","morning","long","high","1554395200320617055"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","06:00","10:10","250","229.0","False","BOD","BRU","N/A","N/A","NCE","705.0","easyJet","N/A","Standard","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 06:00:00","2024-11-24 10:10:00","","3","Sunday","morning","moyen","high","8111813778294016664"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","06:00","14:15","495","229.0","False","BOD","BRU","N/A","N/A","NCE","705.0","easyJet","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 06:00:00","2024-11-24 14:15:00","","3","Sunday","morning","long","high","3542452841540316283"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","09:50","01:45+1","955","229.0","False","BOD","BRU","N/A","N/A","N/A","","Air Arabia Maroc","TUI Fly Belgium","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 09:50:00","2024-11-25 01:45:00","","3","Sunday","morning","long","high","5793949691071225526"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","18:45","10:10+1","925","235.0","False","BOD","BRU","N/A","N/A","NCE","705.0","easyJet","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 18:45:00","2024-11-25 10:10:00","220.0","3","Sunday","evening","long","high","3740350919989440529"
"2024-11-21","2024-11-24","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-24?sort=price_a","06:00","15:30","570","248.0","False","BOD","BRU","N/A","N/A","N/A","","Volotea","Brussels Airlines","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-24 06:00:00","2024-11-24 15:30:00","","3","Sunday","morning","long","high","5040220513319990702"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","11:58","20:06","488","102.0","True","BOD","BRU","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 11:58:00","2024-11-25 20:06:00","","4","Monday","morning","long","cheap","1163388050365001016"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","09:05","19:00","595","142.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 09:05:00","2024-11-25 19:00:00","","4","Monday","morning","long","high","7722361740114052554"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","18:30","09:00+1","870","164.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 18:30:00","2024-11-26 09:00:00","","4","Monday","evening","long","high","2318228590438838912"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","10:40","22:50","730","165.0","False","BOD","CRL","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 10:40:00","2024-11-25 22:50:00","","4","Monday","morning","long","high","5814163118661778595"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","10:40","20:30","590","172.0","False","BOD","CRL","N/A","N/A","N/A","","easyJet","Vueling","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 10:40:00","2024-11-25 20:30:00","","4","Monday","morning","long","high","7991762905880897734"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","10:40","21:20","640","174.0","False","BOD","BRU","N/A","N/A","N/A","","SNCF","Eurostar","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 10:40:00","2024-11-25 21:20:00","","4","Monday","morning","long","high","797977671430421186"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","09:25","16:50","445","175.0","False","BOD","BRU","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 09:25:00","2024-11-25 16:50:00","","4","Monday","morning","long","high","1690138635562224544"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","18:30","08:35+1","845","175.0","False","BOD","BRU","N/A","N/A","N/A","","easyJet","Vueling","N/A","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 18:30:00","2024-11-26 08:35:00","","4","Monday","evening","long","high","5710173641128050301"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","10:40","20:30","590","177.0","False","BOD","CRL","N/A","N/A","MAD","365.0","Iberia","N/A","Basic","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 10:40:00","2024-11-25 20:30:00","225.0","4","Monday","morning","long","high","3645497279474224148"
"2024-11-21","2024-11-25","BOD","BRU","Bruxelles","https://www.kayak.fr/flights/BOD-BRU/2024-11-25?sort=price_a","18:40","08:35+1","835","177.0","False","BOD","CRL","N/A","N/A","MAD","365.0","Iberia","N/A","Basic","44.837789, -0.57918","50.8465573, 4.351697","762.86","2024-11-25 18:40:00","2024-11-26 08:35:00","470.0","4","Monday","evening","long","high","7024955754186640723"
