"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","14:45","07:55+1","1270","1211.0","False","BOD","EZE","0","0","MRS","165.0","easyJet","Lufthansa","Standard","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 14:45:00","2024-11-23 07:55:00","1105.0","0","Friday","afternoon","long","standard","6193818203824810795"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","09:05","21:00","955","1188.0","False","BOD","EZE","0","0","MAD","115.0","easyJet","Lufthansa","Basic","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 09:05:00","2024-11-22 21:00:00","840.0","0","Friday","morning","long","standard","5414137826863374400"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","12:50","01:00+2","2410","1027.0","False","BOD","EZE","0","0","VCE","930.0","easyJet","Lufthansa","Economy","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 12:50:00","","1480.0","0","Friday","afternoon","long","cheap","4328456298818812067"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","14:45","07:55+1","1270","1280.0","False","BOD","EZE","N/A","N/A","MRS","165.0","easyJet","Lufthansa","Standard","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 14:45:00","2024-11-23 07:55:00","1105.0","0","Friday","afternoon","long","standard","6193818203824810795"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","22:25","19:55+1","1530","1170.0","False","BOD","EZE","N/A","N/A","MRS","165.0","easyJet","LATAM Airlines","Standard","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 22:25:00","2024-11-23 19:55:00","1365.0","0","Friday","night","long","standard","7144441961018069582"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","20:10","14:45+1","1355","1370.0","False","BOD","EZE","N/A","N/A","MRS","165.0","easyJet","Lufthansa","Standard","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 20:10:00","2024-11-23 14:45:00","1190.0","0","Friday","evening","long","high","1829517119534904957"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","16:20","08:40+1","1220","1426.0","False","BOD","EZE","N/A","N/A","LIS","570.0","easyJet","Iberia","Standard","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 16:20:00","2024-11-23 08:40:00","650.0","0","Friday","afternoon","long","high","7177841508842913962"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","20:10","14:35+1","1345","1456.0","False","BOD","EZE","N/A","N/A","CDG","105.0","Air France","KLM","Light","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 20:10:00","2024-11-23 14:35:00","1240.0","0","Friday","evening","long","high","3915733478297533736"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","18:35","14:45+1","1450","1370.0","False","BOD","EZE","0","1","LYS","205.0","Iberia","N/A","Standard","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 18:35:00","2024-11-23 14:45:00","1245.0","0","Friday","evening","long","high","6364204152850987008"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","12:50","11:20+1","1590","1179.0","False","BOD","EZE","0","1","CDG","105.0","Iberia","N/A","Light","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 12:50:00","2024-11-23 11:20:00","1485.0","0","Friday","afternoon","long","standard","6600514429539166071"
"2024-11-22","2024-11-22","BOD","EZE","Buenos Aires","https://www.kayak.fr/flights/BOD-EZE/2024-11-22?sort=bestflight_a","18:35","14:35+1","1440","1456.0","False","BOD","EZE","0","1","CDG","200.0","Iberia","N/A","Light","44.837789, -0.57918","-34.6083696, -58.4440583","10556.99","2024-11-22 06:54:22","2024-11-22 18:35:00","2024-11-23 14:35:00","1240.0","0","Friday","evening","long","high","6444847266063745759"
