"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","08:30","18:35","965","666.0","False","BOD","YUL","0","0","MAD","180.0","Volotea","Royal Air Maroc","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 08:30:00","2024-11-22 18:35:00","785.0","0","Friday","morning","long","cheap","2793025406098809597"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","05:58","15:45","947","1368.0","False","BOD","YUL","0","0","CDG","259.0","Volotea","Royal Air Maroc","Flex","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 05:58:00","2024-11-22 15:45:00","688.0","0","Friday","morning","long","high","1525822305137144514"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","08:30","18:35","965","694.0","False","BOD","YUL","0","0","MAD","180.0","Volotea","Royal Air Maroc","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 08:30:00","2024-11-22 18:35:00","785.0","0","Friday","morning","long","cheap","2793025406098809597"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:45","20:15","990","756.0","False","BOD","YUL","N/A","N/A","MAD","180.0","Volotea","Royal Air Maroc","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 09:45:00","2024-11-22 20:15:00","810.0","0","Friday","morning","long","cheap","245789677450984049"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:05","18:35","930","839.0","False","BOD","YUL","N/A","N/A","BCN","215.0","Iberia","Royal Air Maroc","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 09:05:00","2024-11-22 18:35:00","715.0","0","Friday","morning","long","standard","4941393041539272984"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:45","20:15","990","863.0","False","BOD","YUL","N/A","N/A","MAD","180.0","Volotea","Royal Air Maroc","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 09:45:00","2024-11-22 20:15:00","810.0","0","Friday","morning","long","standard","245789677450984049"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","08:30","20:15","1065","790.0","False","BOD","YUL","N/A","N/A","MAD","150.0","Volotea","TAP AIR PORTUGAL","Basic","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 08:30:00","2024-11-22 20:15:00","915.0","0","Friday","morning","long","standard","7671977636071074846"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","08:30","20:15","1065","790.0","False","BOD","YUL","N/A","N/A","BCN","70.0","Volotea","TAP AIR PORTUGAL","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 08:30:00","2024-11-22 20:15:00","995.0","0","Friday","morning","long","standard","7671977636071074846"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","08:30","18:20","950","1418.0","False","BOD","YUL","1","N/A","CDG","259.0","Air Canada","N/A","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 08:30:00","2024-11-22 18:20:00","691.0","0","Friday","morning","long","high","7123596632682319588"
"2024-11-22","2024-11-22","BOD","YUL","Montréal","https://www.kayak.fr/flights/BOD-YUL/2024-11-22?sort=bestflight_a","09:05","18:20","915","1425.0","False","BOD","YUL","1","N/A","MAD","295.0","Air Canada","N/A","Economy","44.837789, -0.57918","43.94948, 0.20161","116.67","2024-11-22 03:46:01","2024-11-22 09:05:00","2024-11-22 18:20:00","620.0","0","Friday","morning","long","high","3770476352860769079"
