"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-22?sort=bestflight_a","19:45","21:20","95","102.0","True","BOD","MXP","0","0","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-22 10:31:46","2024-11-22 19:45:00","2024-11-22 21:20:00","","0","Friday","evening","court","cheap","387211199191441522"
"2024-11-22","2024-11-22","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-22?sort=bestflight_a","19:45","21:20","95","90.0","True","BOD","MXP","0","0","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-22 10:31:46","2024-11-22 19:45:00","2024-11-22 21:20:00","","0","Friday","evening","court","cheap","387211199191441522"
"2024-11-22","2024-11-22","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-22?sort=bestflight_a","12:30","18:35","365","1130.0","False","BOD","MXP","0","0","AMS","155.0","easyJet","N/A","Affaires","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-22 10:31:46","2024-11-22 12:30:00","2024-11-22 18:35:00","210.0","0","Friday","afternoon","long","high","5804628932827348673"
"2024-11-22","2024-11-22","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-22?sort=bestflight_a","10:50","17:40","410","1442.0","False","BOD","MXP","N/A","N/A","CDG","240.0","easyJet","N/A","Affaires","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-22 10:31:46","2024-11-22 10:50:00","2024-11-22 17:40:00","170.0","0","Friday","morning","long","high","29970770876175312"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","10:05","17:20","435","245.0","False","BOD","MXP","0","0","MRS","135.0","easyJet","Vueling","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-21 23:32:58","2024-11-23 10:05:00","2024-11-23 17:20:00","300.0","2","Saturday","morning","long","high","7311589748004045722"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","21:45","08:55+1","670","79.0","False","BOD","MXP","0","0","BCN","500.0","easyJet","Vueling","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-21 23:32:58","2024-11-23 21:45:00","2024-11-24 08:55:00","170.0","2","Saturday","evening","long","cheap","4305244937498907296"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","14:40","18:15","215","423.0","False","BOD","MXP","0","0","MRS","135.0","easyJet","Vueling","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-21 23:32:58","2024-11-23 14:40:00","2024-11-23 18:15:00","80.0","2","Saturday","afternoon","moyen","high","2946402458616382883"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","10:20","17:50","450","193.0","False","BOD","MXP","N/A","N/A","ZRH","65.0","easyJet","Vueling","Economy Light","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-21 23:32:58","2024-11-23 10:20:00","2024-11-23 17:50:00","385.0","2","Saturday","morning","long","standard","6804776064534195817"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","10:20","17:50","450","193.0","False","BOD","MXP","N/A","N/A","N/A","","Volotea","N/A","Standard","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-21 23:32:58","2024-11-23 10:20:00","2024-11-23 17:50:00","","2","Saturday","morning","long","standard","187284678945283315"
"2024-11-21","2024-11-23","BOD","MXP","Milan","https://www.kayak.fr/flights/BOD-MXP/2024-11-23?sort=bestflight_a","21:45","10:10+1","745","117.0","False","BOD","MXP","N/A","N/A","ATH","100.0","easyJet","Vueling","Economy","44.837789, -0.57918","45.4641943, 9.1896346","770.88","2024-11-21 23:32:58","2024-11-23 21:45:00","2024-11-24 10:10:00","645.0","2","Saturday","evening","long","standard","7409585989672875622"
