"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"","","N/A","N/A","N/A","N/A","11:30","13:35","125","89.0","True","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","Économique","44.837789, -0.57918","","","","","","","","","moyen","standard","777047632424612489"
"","","N/A","N/A","N/A","N/A","13:35","23:10","575","133.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","Économique","44.837789, -0.57918","","","","","","","","","long","high","777047632424612489"
"","","N/A","N/A","N/A","N/A","11:30","16:20","290","140.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","Économique","44.837789, -0.57918","","","","","","","","","moyen","high","777047632424612489"
"","","N/A","N/A","N/A","N/A","13:35","18:05","270","149.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","777047632424612489"
"","","N/A","N/A","N/A","N/A","17:55","00:55+1","420","156.0","False","BOD","FCO","N/A","N/A","N/A","","Iberia","Wizz Air Malta","N/A","44.837789, -0.57918","","","","","","","","","long","high","8325805896510077525"
"","","N/A","N/A","N/A","N/A","17:55","00:15+1","380","203.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","777047632424612489"
"","","N/A","N/A","N/A","N/A","12:40","19:50","430","231.0","False","BOD","FCO","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","","","","","","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","12:40","20:45","485","248.0","False","BOD","FCO","N/A","N/A","N/A","","easyJet","Ryanair","N/A","44.837789, -0.57918","","","","","","","","","long","high","8432653451980485441"
"","","N/A","N/A","N/A","N/A","09:05","17:25","500","253.0","False","BOD","FCO","N/A","N/A","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","","","","","115.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","09:05","15:30","385","257.0","False","BOD","FCO","N/A","N/A","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","","","","","0.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","09:05","18:10","545","257.0","False","BOD","FCO","N/A","N/A","BCN","385.0","Vueling","Wizz Air Malta","Économique","44.837789, -0.57918","","","","","160.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","12:30","21:15","525","261.0","False","BOD","CIA","N/A","N/A","BCN","385.0","Vueling","Wizz Air Malta","N/A","44.837789, -0.57918","","","","","140.0","","","","long","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","09:05","13:55","290","277.0","False","BOD","FCO","N/A","N/A","N/A","","Iberia","N/A","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","8325805896510077525"
"","","N/A","N/A","N/A","N/A","15:45","20:40","295","296.0","False","BOD","FCO","N/A","N/A","BCN","385.0","Vueling","Wizz Air Malta","N/A","44.837789, -0.57918","","","","","","","","","moyen","high","2113266005089503308"
"","","N/A","N/A","N/A","N/A","11:30","20:10","520","301.0","False","BOD","FCO","N/A","N/A","N/A","","Volotea","ITA Airways","N/A","44.837789, -0.57918","","","","","","","","","long","high","777047632424612489"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","10:50","12:50","120","69.0","True","BOD","FCO","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-22 10:50:00","2024-11-22 12:50:00","","2.0","Friday","morning","court","cheap","9015663560529540786"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","17:40","19:45","125","69.0","True","BOD","FCO","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-22 17:40:00","2024-11-22 19:45:00","","2.0","Friday","evening","moyen","cheap","9015663560529540786"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","12:15","20:40","505","128.0","False","BOD","FCO","N/A","N/A","N/A","","easyJet","N/A","Standard","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-22 12:15:00","2024-11-22 20:40:00","","2.0","Friday","afternoon","long","high","9015663560529540786"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","16:20","20:40","260","157.0","False","BOD","FCO","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-22 16:20:00","2024-11-22 20:40:00","","2.0","Friday","afternoon","moyen","high","9015663560529540786"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","07:00","13:45","405","157.0","False","BOD","FCO","N/A","N/A","N/A","","easyJet","Wizz Air Malta","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-22 07:00:00","2024-11-22 13:45:00","","2.0","Friday","morning","long","high","9015663560529540786"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","09:45","18:05","500","181.0","False","BOD","FCO","N/A","N/A","N/A","","easyJet","N/A","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-22 09:45:00","2024-11-22 18:05:00","","2.0","Friday","morning","long","high","9015663560529540786"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","09:45","16:00","375","192.0","False","BOD","FCO","N/A","N/A","N/A","","Vueling","N/A","N/A","44.837789, -0.57918","48.8823012, 2.3213298","500.98","2024-11-22 09:45:00","2024-11-22 16:00:00","","2.0","Friday","morning","long","high","4585932474759506685"
