"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","12:00","01:10+1","610","423.0","False","BOD","DXB","1","1","IST","115.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 12:00:00","2024-11-25 01:10:00","495.0","1","Sunday","afternoon","long","standard","7331896718410547363"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","12:00","01:10+1","610","413.0","False","BOD","DXB","1","1","IST","115.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 12:00:00","2024-11-25 01:10:00","495.0","1","Sunday","afternoon","long","cheap","7331896718410547363"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","08:10","16:30+1","1760","227.0","False","BOD","DXB","1","1","BER","1215.0","Turkish Airlines","N/A","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 08:10:00","2024-11-25 16:30:00","545.0","1","Sunday","morning","très_long","cheap","550429789150987639"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","12:00","03:10+1","730","376.0","False","BOD","DXB","N/A","N/A","IST","115.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 12:00:00","2024-11-25 03:10:00","615.0","1","Sunday","afternoon","très_long","cheap","6186786512330512233"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","12:00","06:50+1","950","376.0","False","BOD","DXB","N/A","N/A","IST","235.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 12:00:00","2024-11-25 06:50:00","715.0","1","Sunday","afternoon","très_long","cheap","2364365373918008450"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","11:10","01:30+1","680","858.0","False","BOD","DXB","N/A","N/A","IST","115.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 11:10:00","2024-11-25 01:30:00","565.0","1","Sunday","morning","long","high","5452670837398568730"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","18:00","07:05+1","605","750.0","False","BOD","DXB","N/A","N/A","IST","455.0","easyJet","Emirates","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 18:00:00","2024-11-25 07:05:00","150.0","1","Sunday","evening","long","high","4756419102868446359"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","10:45","00:15+1","630","711.0","False","BOD","DXB","N/A","N/A","CMN","100.0","Volotea","Emirates","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 10:45:00","2024-11-25 00:15:00","530.0","1","Sunday","morning","long","high","6918689192862316247"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","18:00","10:00+1","780","443.0","False","BOD","DXB","0","1","ZRH","135.0","Turkish Airlines","N/A","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 18:00:00","2024-11-25 10:00:00","645.0","1","Sunday","evening","très_long","standard","664921867487727761"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","15:35","06:45+1","730","668.0","False","BOD","DXB","0","1","VCE","165.0","Turkish Airlines","N/A","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 15:35:00","2024-11-25 06:45:00","565.0","1","Sunday","afternoon","très_long","high","247796942931642946"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","12:00","07:15+1","975","470.0","False","BOD","DXB","0","1","ZRH","120.0","Turkish Airlines","N/A","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 12:00:00","2024-11-25 07:15:00","855.0","1","Sunday","afternoon","très_long","standard","9222022607576787994"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","08:10","02:45+1","935","397.0","False","BOD","DXB","N/A","N/A","IST","115.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 08:10:00","2024-11-25 02:45:00","820.0","1","Sunday","morning","très_long","cheap","7243909317033624946"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","09:05","02:10+1","845","463.0","False","BOD","DXB","N/A","N/A","MXP","265.0","Iberia","Pegasus Airlines","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 09:05:00","2024-11-25 02:10:00","580.0","1","Sunday","morning","très_long","standard","3267374279457978531"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","15:25","08:15+1","830","797.0","False","BOD","DXB","N/A","N/A","IST","480.0","Turkish Airlines","N/A","Ps","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 15:25:00","2024-11-25 08:15:00","350.0","1","Sunday","afternoon","très_long","high","5878437990309558427"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","09:05","00:25+1","740","777.0","False","BOD","DXB","N/A","N/A","BER","180.0","Iberia","Emirates","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 09:05:00","2024-11-25 00:25:00","560.0","1","Sunday","morning","très_long","high","314886869525134225"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","07:10","00:25+1","855","633.0","False","BOD","DXB","N/A","N/A","MAD","145.0","easyJet","Aegean Airlines","Basic","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 07:10:00","2024-11-25 00:25:00","710.0","1","Sunday","morning","très_long","high","3561030937982681618"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","18:00","16:30+1","1170","354.0","False","BOD","DXB","0","0","BER","1215.0","easyJet","Eurowings","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 18:00:00","2024-11-25 16:30:00","","1","Sunday","evening","très_long","cheap","3587633190583211645"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","08:10","06:25+1","1155","326.0","False","BOD","DXB","0","0","DUB","265.0","easyJet","Eurowings","Saver","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 08:10:00","2024-11-25 06:25:00","890.0","1","Sunday","morning","très_long","cheap","7913174306249943261"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","08:10","03:50+1","1000","410.0","False","BOD","DXB","0","0","MAD","235.0","easyJet","Eurowings","Basic","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 08:10:00","2024-11-25 03:50:00","765.0","1","Sunday","morning","très_long","cheap","8308403569573306545"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","14:20","06:50+1","810","558.0","False","BOD","DXB","N/A","N/A","ATH","395.0","easyJet","Eurowings","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 14:20:00","2024-11-25 06:50:00","415.0","1","Sunday","afternoon","très_long","standard","7309549457102775571"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","14:25","06:50+1","805","594.0","False","BOD","DXB","N/A","N/A","ZRH","105.0","easyJet","Turkish Airlines","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 14:25:00","2024-11-25 06:50:00","700.0","1","Sunday","afternoon","très_long","high","3049079912140745150"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","18:00","10:20+1","800","685.0","False","BOD","DXB","N/A","N/A","BER","1215.0","easyJet","Eurowings","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 18:00:00","2024-11-25 10:20:00","","1","Sunday","evening","très_long","high","3552662733941440559"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","15:35","10:00+1","925","539.0","False","BOD","DXB","N/A","N/A","BER","300.0","easyJet","Oman Air","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 15:35:00","2024-11-25 10:00:00","625.0","1","Sunday","afternoon","très_long","standard","1597804125086735010"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","20:55","20:05+1","1210","383.0","False","BOD","DXB","N/A","N/A","BER","195.0","easyJet","Wizz Air","Standard (+ 1 bagage)","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 20:55:00","2024-11-25 20:05:00","1015.0","1","Sunday","evening","très_long","cheap","3370644507747170727"
"2024-11-23","2024-11-24","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-24?sort=bestflight_a","07:10","00:40+1","870","571.0","False","BOD","DXB","0","1","NCE","205.0","Turkish Airlines","N/A","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:23:06","2024-11-24 07:10:00","2024-11-25 00:40:00","665.0","1","Sunday","morning","très_long","standard","8647225186618225360"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","19:05","13:40+1","935","366.0","False","BOD","DXB","2","1","CMN","335.0","Royal Air Maroc","N/A","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 19:05:00","2024-11-26 13:40:00","600.0","2","Monday","evening","très_long","cheap","7040741016999312856"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","20:35","15:50+1","975","218.0","False","BOD","DWC","2","1","LYS","490.0","Royal Air Maroc","N/A","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 20:35:00","2024-11-26 15:50:00","485.0","2","Monday","evening","très_long","cheap","1950694178041836289"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","18:00","06:50+1","590","417.0","False","BOD","DXB","2","1","CMN","335.0","Royal Air Maroc","N/A","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 18:00:00","2024-11-26 06:50:00","255.0","2","Monday","evening","long","cheap","4668246426772745908"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","18:00","07:15+1","615","430.0","False","BOD","DXB","N/A","N/A","IST","95.0","Royal Air Maroc","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 18:00:00","2024-11-26 07:15:00","520.0","2","Monday","evening","long","standard","5379521257257319504"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","19:05","13:40+1","935","356.0","False","BOD","DXB","N/A","N/A","N/A","","Royal Air Maroc","N/A","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 19:05:00","2024-11-26 13:40:00","","2","Monday","evening","très_long","cheap","7040741016999312856"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","16:20","07:50+1","750","412.0","False","BOD","DXB","N/A","N/A","IST","120.0","Royal Air Maroc","N/A","Ps","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 16:20:00","2024-11-26 07:50:00","630.0","2","Monday","afternoon","très_long","cheap","4218446077369738432"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","18:00","13:25+1","985","376.0","False","BOD","DXB","N/A","N/A","CMN","335.0","Turkish Airlines","N/A","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 18:00:00","2024-11-26 13:25:00","650.0","2","Monday","evening","très_long","cheap","4685132350165549458"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","10:55","23:59","604","709.0","False","BOD","DXB","N/A","N/A","ALG","230.0","easyJet","Emirates","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 10:55:00","2024-11-25 23:59:00","374.0","2","Monday","morning","long","high","7970824411517261185"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","11:15","06:00+1","945","326.0","False","BOD","DXB","0","1","IST","485.0","easyJet","Transavia France","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 11:15:00","2024-11-26 06:00:00","460.0","2","Monday","morning","très_long","cheap","2887552497887048002"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","08:40","02:10+1","870","366.0","False","BOD","DXB","0","1","LYS","150.0","easyJet","Transavia France","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 08:40:00","2024-11-26 02:10:00","720.0","2","Monday","morning","très_long","cheap","5085122766201936182"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","15:15","05:30+1","675","686.0","False","BOD","DXB","0","1","LGW","125.0","easyJet","Transavia France","Basic Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 15:15:00","2024-11-26 05:30:00","550.0","2","Monday","afternoon","long","high","6559732822586516723"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","15:55","10:00+1","905","479.0","False","BOD","DXB","N/A","N/A","LYS","180.0","easyJet","Transavia France","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 15:55:00","2024-11-26 10:00:00","725.0","2","Monday","afternoon","très_long","standard","1420805490066400244"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","15:55","10:30+1","935","381.0","False","BOD","DXB","N/A","N/A","FCO","215.0","easyJet","Wizz Air","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 15:55:00","2024-11-26 10:30:00","720.0","2","Monday","afternoon","très_long","cheap","3283342348275787745"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","11:15","07:40+1","1045","559.0","False","BOD","DXB","N/A","N/A","LYS","490.0","easyJet","Transavia France","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 11:15:00","2024-11-26 07:40:00","555.0","2","Monday","morning","très_long","standard","4093809450949080574"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","12:58","10:20+1","1102","513.0","False","BOD","DXB","N/A","N/A","CDG","230.0","Qatar Airways","N/A","Light","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 12:58:00","2024-11-26 10:20:00","872.0","2","Monday","afternoon","très_long","standard","6486672997238478159"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","11:15","10:30+1","1215","326.0","False","BOD","DXB","N/A","N/A","LYS","230.0","British Airways","Wizz Air","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 11:15:00","2024-11-26 10:30:00","985.0","2","Monday","morning","très_long","cheap","8295922799463140155"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","11:15","08:30+1","1095","559.0","False","BOD","DXB","0","1","LGW-LHR","","Turkish Airlines","N/A","Basic Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 11:15:00","2024-11-26 08:30:00","","2","Monday","morning","très_long","standard","3248262653810384265"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","18:35","15:50+1","1095","461.0","False","BOD","DWC","0","1","CDG","319.0","Turkish Airlines","N/A","Economy Classic","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 18:35:00","2024-11-26 15:50:00","776.0","2","Monday","evening","très_long","standard","4714193127758351210"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","11:15","10:30+1","1215","326.0","False","BOD","DXB","0","1","IST","95.0","Turkish Airlines","N/A","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 11:15:00","2024-11-26 10:30:00","1120.0","2","Monday","morning","très_long","cheap","8295922799463140155"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","07:45","02:10+1","925","421.0","False","BOD","DXB","N/A","N/A","LGW-LTN","","Turkish Airlines","N/A","Basic Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 07:45:00","2024-11-26 02:10:00","","2","Monday","morning","très_long","cheap","113360279126041349"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","15:15","10:30+1","975","384.0","False","BOD","DXB","N/A","N/A","N/A","","easyJet","Wizz Air","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 15:15:00","2024-11-26 10:30:00","","2","Monday","afternoon","très_long","cheap","7816137108685658639"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","13:55","06:10+1","795","606.0","False","BOD","DXB","N/A","N/A","LGW-LHR","","Turkish Airlines","N/A","Basic Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 13:55:00","2024-11-26 06:10:00","","2","Monday","afternoon","très_long","high","7638115133480095554"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","11:15","10:30+1","1215","334.0","False","BOD","DXB","N/A","N/A","LYS","615.0","British Airways","Ryanair","Light","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 11:15:00","2024-11-26 10:30:00","600.0","2","Monday","morning","très_long","cheap","8295922799463140155"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","09:05","02:10+1","845","551.0","False","BOD","DXB","N/A","N/A","LGW","125.0","Iberia","Pegasus Airlines","Basic Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 09:05:00","2024-11-26 02:10:00","720.0","2","Monday","morning","très_long","standard","1090001110557213376"
"2024-11-23","2024-11-25","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-25?sort=bestflight_a","09:25","03:55+1","930","448.0","False","BOD","DXB","0","1","IST","120.0","Turkish Airlines","flydubai","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:25:03","2024-11-25 09:25:00","2024-11-26 03:55:00","810.0","2","Monday","morning","très_long","standard","7987155370247178945"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","12:00","01:10+1","610","459.0","False","BOD","DXB","1","1","IST","115.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 12:00:00","2024-11-27 01:10:00","495.0","3","Tuesday","afternoon","long","standard","2391001779511747825"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","12:00","01:10+1","610","376.0","False","BOD","DXB","1","1","IST","115.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 12:00:00","2024-11-27 01:10:00","495.0","3","Tuesday","afternoon","long","cheap","2391001779511747825"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","09:05","02:10+1","845","280.0","False","BOD","DXB","1","1","LYS","155.0","Turkish Airlines","N/A","Standard","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 09:05:00","2024-11-27 02:10:00","690.0","3","Tuesday","morning","très_long","cheap","2553787372306056878"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","12:00","03:10+1","730","376.0","False","BOD","DXB","N/A","N/A","IST","115.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 12:00:00","2024-11-27 03:10:00","615.0","3","Tuesday","afternoon","très_long","cheap","4254514317757299167"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","12:00","06:50+1","950","376.0","False","BOD","DXB","N/A","N/A","N/A","","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 12:00:00","2024-11-27 06:50:00","","3","Tuesday","afternoon","très_long","cheap","1564905103779040572"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","18:00","07:50+1","650","503.0","False","BOD","DXB","N/A","N/A","IST","235.0","Turkish Airlines","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 18:00:00","2024-11-27 07:50:00","415.0","3","Tuesday","evening","long","standard","8372376184649745957"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","09:35","02:10+1","815","339.0","False","BOD","DXB","N/A","N/A","N/A","","Vueling","Pegasus Airlines","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 09:35:00","2024-11-27 02:10:00","","3","Tuesday","morning","très_long","cheap","1838198765082418894"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","17:55","10:20+1","805","440.0","False","BOD","DXB","N/A","N/A","IST","455.0","Qatar Airways","N/A","Promotion","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 17:55:00","2024-11-27 10:20:00","350.0","3","Tuesday","evening","très_long","standard","4783299683259340668"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","20:10","09:00+1","590","833.0","False","BOD","DXB","0","1","ALG","145.0","Turkish Airlines","N/A","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 20:10:00","2024-11-27 09:00:00","445.0","3","Tuesday","evening","long","high","1511829824177864573"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","06:05","02:10+1","1025","299.0","False","BOD","DXB","0","1","BCN","125.0","Turkish Airlines","N/A","Economy","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 06:05:00","2024-11-27 02:10:00","900.0","3","Tuesday","morning","très_long","cheap","9130314165792353992"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","17:55","07:45+1","650","662.0","False","BOD","DXB","0","1","MAD","130.0","Turkish Airlines","N/A","Economy Classic","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 17:55:00","2024-11-27 07:45:00","520.0","3","Tuesday","evening","long","high","7587648640534773097"
"2024-11-23","2024-11-26","BOD","DXB","Dubai","https://www.kayak.fr/flights/BOD-DXB/2024-11-26?sort=bestflight_a","17:55","11:55+1","900","440.0","False","BOD","DXB","N/A","N/A","CDG","95.0","Turkish Airlines","N/A","Light","44.837789, -0.57918","25.2653471, 55.2924914","5417.07","2024-11-23 10:26:57","2024-11-26 17:55:00","2024-11-27 11:55:00","805.0","3","Tuesday","evening","très_long","standard","5382114680608379943"
